LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
1411 5 3.7485 5.13857 8.84419 
1457 4 0.0670994 6.92926 7.0457 
1458 4 1.91692 6.89028 8.85106 
1459 5 0.0285889 8.64803 8.91402 
1460 4 1.92993 8.62819 7.05488 
1461 4 3.76315 6.9111 7.00952 
1463 4 3.69003 8.60446 8.86098 
1509 4 0.0840058 10.3474 7.02321 
834 4 1.90566 10.3786 5.25236 
1510 4 1.91285 10.3823 8.86121 
1513 4 3.66147 10.3506 7.04365 
2083 2 0.0530247 5.11014 12.5799 
2185 4 0.0533771 10.4451 10.7073 
2087 4 3.72055 5.1719 12.4983 
2134 4 1.89764 6.86059 12.547 
2135 5 0.0154503 8.65325 12.5436 
2861 4 0.0257861 10.3842 14.4137 
2815 4 3.58658 8.58312 16.1511 
2139 1 3.64503 8.60468 12.5343 
2759 4 0.00430878 5.16211 16.198 
2760 4 1.84187 5.17562 14.3726 
2763 1 3.68597 5.19005 16.186 
2809 1 0.00351895 6.8721 14.4026 
2810 1 1.81934 6.86423 16.1815 
2811 1 0.0124743 8.60828 16.1915 
2812 1 1.84344 8.59359 14.3717 
2813 4 3.66179 6.85228 14.3432 
2186 4 1.86855 10.3861 12.5259 
2862 1 1.79265 10.3568 16.1801 
2865 1 3.58438 10.3554 14.3429 
2133 2 0.0372304 6.82863 10.7388 
2084 1 1.91695 5.15617 10.723 
2189 4 3.64552 10.3549 10.686 
2136 4 1.91309 8.61453 10.7008 
2137 4 3.69042 6.89088 10.7125 
3435 4 -0.0408026 5.22817 19.8469 
3436 4 1.82018 5.18954 18.009 
3439 4 3.69815 5.2026 19.8537 
3485 1 -0.00747002 6.88077 18.0103 
3486 1 1.82386 6.88519 19.8278 
3487 1 -0.00780266 8.62546 19.8074 
3488 1 1.80519 8.60009 17.9967 
3489 1 3.60347 6.84438 18.0037 
3491 1 3.57438 8.61112 19.8272 
4112 4 1.84242 5.25297 21.6818 
4161 4 0.0154394 6.94358 21.6271 
4164 1 1.82222 8.64919 21.6307 
4165 1 3.66064 6.92529 21.6475 
3541 1 3.52418 10.3901 17.9766 
4217 4 3.57799 10.4039 21.6504 
3538 4 1.78496 10.3717 19.8121 
3537 4 0.000169977 10.3568 18.0073 
4213 4 -0.0179548 10.3723 21.6069 
4111 4 0.0258115 5.28636 23.465 
4115 4 3.69768 5.26112 23.4587 
4162 1 1.867 6.98034 23.4594 
4163 1 0.022484 8.68235 23.4282 
4167 1 3.66915 8.68024 23.4508 
4787 1 0.0380738 5.33763 27.0744 
4788 1 1.8689 5.30901 25.2723 
4791 1 3.73495 5.28277 27.1007 
4837 1 0.0437756 7.01053 25.2617 
4838 1 1.89781 6.99917 27.0807 
4839 1 0.0344408 8.69192 27.0705 
4840 1 1.86425 8.70566 25.2649 
4841 1 3.70555 6.97145 25.2769 
4843 1 3.69463 8.70601 27.0856 
4890 1 1.839 10.4376 27.0644 
4889 1 0.00706301 10.3959 25.2486 
4893 1 3.63665 10.4292 25.2637 
4214 1 1.81181 10.4012 23.4409 
5463 1 0.0406977 5.30381 30.6733 
5464 1 1.89934 5.29777 28.8846 
5467 1 3.75624 5.26537 30.6639 
5513 1 0.0713614 6.98648 28.8879 
5514 1 1.90016 6.97587 30.6783 
5515 2 0.04833 8.69838 30.7329 
5516 1 1.87584 8.70065 28.8754 
5517 1 3.7328 6.98636 28.8892 
5519 2 3.72588 8.71183 30.7077 
6140 2 1.88925 5.26259 32.5178 
6189 2 0.0232419 6.96586 32.557 
6192 2 1.89393 8.71116 32.5453 
6193 2 3.75443 6.95105 32.5247 
6241 2 -0.0119025 10.5093 32.5154 
5566 2 1.85032 10.5124 30.7074 
6245 2 3.70976 10.4859 32.5368 
5565 2 0.0154938 10.4751 28.8869 
5569 2 3.67855 10.4684 28.8864 
6242 2 1.85118 10.5184 34.3252 
6191 2 -0.00292667 8.74844 34.3439 
6195 1 3.75868 8.70331 34.3483 
7597 2 3.67226 10.5741 39.7692 
6921 2 3.67961 10.5267 36.1101 
7545 2 3.69278 6.95811 39.7421 
6918 2 1.82684 10.5456 37.9402 
6815 2 0.0233204 5.21552 37.9494 
6816 2 1.91055 5.2207 36.1786 
6819 1 3.74637 5.22162 37.9414 
6865 2 0.00450297 7.00582 36.1646 
6866 2 1.87942 6.9804 37.9445 
6867 2 -0.00472349 8.79165 37.9358 
6868 2 1.87522 8.74565 36.1286 
6869 1 3.79421 6.96378 36.1498 
6871 2 3.70624 8.72792 37.9416 
7492 1 1.86352 5.19782 39.7111 
7541 2 0.00396089 7.0078 39.7122 
7544 2 1.83544 8.78587 39.7423 
6917 1 -0.0134182 10.5232 36.1289 
7593 1 -0.0300981 10.5517 39.7567 
6143 1 3.78398 5.21669 34.3929 
6139 2 0.0175213 5.23736 34.412 
6190 2 1.9192 6.96758 34.373 
7491 2 0.0128486 5.24048 41.4729 
7495 2 3.73765 5.15905 41.5536 
7542 2 1.87112 6.97159 41.506 
7543 2 -0.0431351 8.73866 41.523 
7547 2 3.68556 8.78351 41.5426 
8167 2 -0.0563158 5.25025 45.1917 
8168 2 1.89394 5.22784 43.3341 
8171 2 3.79474 5.19262 45.248 
8217 2 -0.0506359 6.93424 43.3096 
8218 2 1.87135 6.98442 45.1539 
8219 2 -0.03293 8.68082 45.126 
8220 2 1.81831 8.72053 43.3099 
8221 2 3.70356 6.96308 43.3506 
8223 2 3.67407 8.74031 45.1544 
7594 2 1.79877 10.5434 41.5594 
8273 2 3.6855 10.5005 43.3741 
8270 2 1.80757 10.4701 45.1716 
8269 2 -0.0342709 10.5145 43.3492 
889 2 3.63746 13.8694 3.37767 
885 2 -0.0012516 13.8711 3.38162 
159 2 8.37236e-05 12.152 1.53028 
160 2 1.83222 12.1748 -0.354195 
836 1 1.87275 12.0721 3.35916 
163 1 3.65435 12.0937 1.56599 
209 2 -0.0425831 13.8785 -0.338344 
210 1 1.84939 13.8466 1.55349 
211 2 -0.0539365 15.6033 1.4941 
212 2 1.79846 15.6229 -0.30759 
213 2 3.62305 13.8657 -0.315951 
215 2 3.61345 15.7044 1.58222 
888 2 1.81178 15.6315 3.36083 
1564 2 1.73507 15.6346 7.01295 
835 2 0.0313342 12.0933 5.19436 
839 1 3.62554 12.1138 5.19147 
886 1 1.82705 13.8729 5.20287 
887 1 -0.0875641 15.6099 5.22082 
891 1 3.64188 15.6688 5.1649 
1567 1 3.60088 15.6495 8.83658 
1565 1 3.59625 13.9379 7.01098 
1511 1 0.0524338 12.0653 8.83181 
1512 1 1.86503 12.133 7.03348 
1563 1 -0.073084 15.6118 8.86346 
1515 1 3.60811 12.1553 8.84972 
1561 1 -0.018385 13.8297 7.00801 
1562 1 1.7727 13.8715 8.84272 
2919 1 3.489 15.7454 16.1927 
2187 3 0.00631993 12.0995 12.538 
2916 3 1.70492 15.6597 14.3437 
2915 1 -0.0726074 15.6575 16.1679 
2191 1 3.5727 12.1272 12.5268 
2914 1 1.73969 13.933 16.1754 
2238 1 1.7674 13.8809 12.5027 
2239 1 -0.0691398 15.6049 12.4594 
2913 1 -0.0060463 13.8825 14.3385 
2867 1 3.50906 12.1403 16.1585 
2243 3 3.49895 15.6802 12.4958 
2917 1 3.50474 13.9399 14.3483 
2864 1 1.78481 12.1319 14.3563 
2863 1 0.0202557 12.1534 16.2178 
2188 1 1.84737 12.1239 10.682 
2237 3 -0.0392914 13.7705 10.6787 
2240 1 1.71261 15.6065 10.6544 
2241 1 3.54877 13.9178 10.6481 
4268 1 1.7317 15.6668 21.6436 
