LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
3336 2 5.53674 45.5446 14.3306 
3337 2 7.30198 43.8054 14.3018 
2606 2 5.43316 40.3219 12.4981 
3282 2 5.39918 40.302 16.1973 
2660 4 5.53138 45.5729 10.6422 
3960 1 5.45873 42.0785 17.991 
3963 1 7.2795 42.04 19.7935 
3964 1 9.04427 42.0227 17.9941 
4010 1 5.52199 43.7734 19.8291 
4012 1 5.54236 45.5024 18.0304 
4013 4 7.29554 43.7919 18.0036 
4014 2 9.05799 43.8093 19.8064 
4015 1 7.30261 45.557 19.8325 
4016 4 9.0585 45.6263 17.988 
4636 1 5.50531 42.0698 21.641 
4640 4 9.02797 42.0196 21.6289 
4688 1 5.53617 45.4779 21.6688 
4689 4 7.30576 43.7803 21.6509 
4692 4 9.03663 45.5947 21.6648 
3958 2 5.44064 40.313 19.7627 
4639 4 7.28137 42.0348 23.4712 
4686 4 5.51587 43.7415 23.484 
4690 4 9.03589 43.7964 23.4663 
4691 4 7.28838 45.5315 23.477 
5312 4 5.48287 42.0201 25.2964 
5315 4 7.26963 42.0356 27.1099 
5316 4 9.03518 42.0335 25.2943 
5362 4 5.51802 43.7477 27.1028 
5364 4 5.52805 45.4875 25.2833 
5365 4 7.29025 43.7675 25.2896 
5366 4 9.02442 43.7968 27.0939 
5367 4 7.29051 45.5255 27.0963 
5368 4 9.0294 45.5695 25.2722 
4634 3 5.45191 40.3279 23.4727 
5988 4 5.47679 42.0393 28.9347 
5991 4 7.2523 42.0431 30.7651 
5992 2 9.04488 42.0301 28.9286 
6038 4 5.51719 43.7563 30.7371 
6040 4 5.54486 45.4897 28.9075 
6041 4 7.28732 43.773 28.9288 
6042 4 9.03811 43.7856 30.7751 
6043 4 7.29793 45.5209 30.7391 
6044 4 9.02585 45.5561 28.9255 
6664 4 5.46755 42.043 32.5653 
6668 4 9.05913 42.0524 32.5929 
6716 4 5.55129 45.4789 32.5545 
6717 4 7.29264 43.7646 32.569 
6720 4 9.04306 45.5493 32.5773 
8072 4 9.05624 45.5422 39.8153 
8068 4 5.53691 45.4908 39.7946 
8069 4 7.28725 43.7719 39.8222 
7340 2 5.45214 42.0125 36.1918 
7343 2 7.2653 42.025 38.0145 
7344 4 9.05875 42.029 36.1992 
7390 4 5.48751 43.7641 38.0036 
7392 4 5.5251 45.4873 36.1891 
7393 4 7.30098 43.7751 36.1878 
7394 4 9.05862 43.7811 38.0123 
7395 4 7.30083 45.5109 37.9968 
7396 4 9.06109 45.5474 36.1915 
8016 4 5.438 42.0515 39.819 
8020 4 9.04937 42.0349 39.8379 
6718 4 9.05442 43.7834 34.3844 
6667 4 7.27249 42.0372 34.3827 
6714 1 5.50877 43.7591 34.3756 
6719 1 7.30021 45.5152 34.3822 
8019 4 7.24923 42.047 41.6343 
8066 4 5.49628 43.7698 41.6165 
8070 4 9.04171 43.7906 41.6438 
8071 1 7.29267 45.528 41.6144 
8692 4 5.44948 42.0654 43.4499 
8695 1 7.25813 42.0698 45.2637 
8696 1 9.02848 42.0634 43.4573 
8742 1 5.50065 43.7918 45.259 
8744 4 5.54074 45.5057 43.4205 
8745 4 7.2815 43.7854 43.4461 
8746 1 9.04578 43.8058 45.2691 
8747 4 7.28638 45.5427 45.2552 
8748 4 9.05732 45.5449 43.4375 
745 1 14.4198 3.36636 3.292 
14 4 12.6399 -0.132078 1.47727 
16 4 12.6313 1.59485 -0.371629 
17 4 14.4255 -0.130953 -0.353065 
18 4 16.1829 -0.129944 1.46053 
19 4 14.4079 1.60513 1.46996 
20 4 16.1791 1.62624 -0.350005 
696 4 16.1716 1.63745 3.29111 
66 2 12.6451 3.37469 1.46379 
69 4 14.3989 3.3585 -0.360253 
70 4 16.1726 3.35643 1.47856 
693 4 14.4045 -0.108286 3.28783 
692 4 12.64 1.63438 3.31584 
741 4 10.8522 3.39388 3.31962 
65 4 10.8803 3.393 -0.371827 
15 2 10.8655 1.62173 1.47645 
13 4 10.8519 -0.15788 -0.375742 
689 4 10.865 -0.114682 3.30428 
690 4 12.6446 -0.0902088 5.12046 
694 2 16.1722 -0.111161 5.12292 
695 4 14.3992 1.65009 5.12391 
742 4 12.6213 3.37576 5.12786 
746 4 16.1938 3.35696 5.1228 
1422 4 16.1835 3.36448 8.77347 
1366 4 12.6299 -0.0787447 8.76924 
1421 4 14.409 3.36633 6.96126 
1368 4 12.6301 1.64803 6.94708 
1369 4 14.3933 -0.105829 6.94386 
1370 4 16.1705 -0.09773 8.73636 
1371 4 14.4013 1.6408 8.76798 
1372 4 16.1708 1.64425 6.94945 
1418 4 12.6317 3.37306 8.79142 
1365 4 10.8577 -0.0663765 6.9378 
1417 4 10.8558 3.383 6.96449 
1367 4 10.856 1.65609 8.78498 
691 1 10.8526 1.64007 5.12011 
2048 4 16.1758 1.62859 10.5906 
2045 4 14.3884 -0.0748998 10.5798 
2044 1 12.6264 1.65512 10.6097 
2097 4 14.4155 3.35924 10.6084 
2041 4 10.8586 -0.0718306 10.6064 
2093 4 10.8518 3.39256 10.6314 
2720 4 12.6306 1.64728 14.2838 
2774 4 16.194 3.33862 16.1192 
2042 4 12.6163 -0.0578861 12.4312 
2773 4 14.4183 3.34981 14.2885 
2046 4 16.1879 -0.0805357 12.423 
2047 4 14.4057 1.63733 12.4379 
2722 4 16.1827 -0.0954584 16.0936 
2770 4 12.6515 3.35526 16.1331 
2094 4 12.6352 3.36774 12.4542 
2721 4 14.4048 -0.073803 14.2756 
2098 4 16.1916 3.34596 12.4403 
2724 4 16.1863 1.62787 14.2645 
2718 4 12.6069 -0.0535107 16.125 
2723 4 14.4114 1.62982 16.1161 
2043 4 10.8463 1.65795 12.457 
2769 4 10.8574 3.38537 14.2926 
2719 4 10.8403 1.67075 16.1409 
2717 4 10.8284 -0.0430671 14.3099 
4125 4 14.4159 3.34562 21.6283 
3394 4 12.6042 -0.0537539 19.8003 
3396 4 12.6184 1.64687 17.9655 
3397 4 14.3936 -0.0618658 17.9513 
3398 4 16.1992 -0.0730677 19.8042 
3399 4 14.4054 1.63162 19.7916 
3400 4 16.1868 1.61309 17.9481 
4076 4 16.1901 1.62455 21.6276 
3446 4 12.6439 3.36258 19.8041 
3449 4 14.4203 3.34039 17.9646 
3450 4 16.1826 3.33706 19.7898 
4073 1 14.4116 -0.0674971 21.6269 
4072 4 12.6112 1.63975 21.6324 
4121 4 10.8561 3.39751 21.6412 
3395 4 10.8269 1.6527 19.8177 
3393 4 10.8147 -0.0603216 17.9679 
4069 1 10.7957 -0.0706405 21.6551 
3445 1 10.8632 3.3815 17.9933 
4070 4 12.5871 -0.0707392 23.46 
4802 4 16.1767 3.35407 27.118 
4074 1 16.2103 -0.0750757 23.453 
4075 1 14.3982 1.62774 23.4595 
4122 1 12.6372 3.37099 23.4642 
4126 1 16.1756 3.34499 23.4619 
4801 1 14.4115 3.35646 25.2892 
4746 1 12.5943 -0.0717243 27.1073 
4798 1 12.6271 3.36513 27.1092 
4748 1 12.602 1.6406 25.2879 
4749 1 14.4019 -0.066554 25.2888 
4750 1 16.2116 -0.0930119 27.1275 
4751 1 14.4035 1.62674 27.1142 
4752 1 16.1936 1.62015 25.2965 
4747 1 10.8128 1.63714 27.1052 
4797 1 10.847 3.39517 25.2897 
4745 4 10.7964 -0.089871 25.2752 
4071 1 10.817 1.66314 23.4669 
6097 4 10.8145 -0.116549 32.5717 
5422 1 12.5963 -0.0970137 30.764 
6149 1 10.8541 3.37022 32.5453 
5424 1 12.6008 1.62105 28.9309 
5425 4 14.4096 -0.0891925 28.9382 
5426 1 16.2083 -0.112712 30.766 
5427 1 14.4009 1.61513 30.7495 
5428 4 16.1897 1.61989 28.9387 
5423 4 10.8168 1.62906 30.7399 
5474 4 12.6272 3.35891 30.7382 
5477 4 14.3979 3.35701 28.9316 
5478 1 16.1735 3.35542 30.7463 
6153 1 14.4068 3.34913 32.5554 
6100 4 12.6138 1.61156 32.5638 
6101 1 14.3991 -0.118413 32.5835 
6104 1 16.1843 1.61126 32.57 
5421 1 10.7939 -0.09863 28.9293 
5473 1 10.8398 3.38688 28.9148 
6830 4 16.1789 3.3592 38.0167 
7505 1 14.4036 3.36203 39.8216 
6829 1 14.4097 3.34847 36.1993 
6826 4 12.6488 3.34973 38.001 
7452 4 12.6385 1.59078 39.8212 
7456 1 16.1887 1.6107 39.8352 
6774 4 12.6259 -0.154615 38.0139 
7453 1 14.4238 -0.146824 39.8427 
6776 4 12.6306 1.5963 36.1947 
6777 1 14.4102 -0.140144 36.2119 
6778 1 16.1997 -0.144739 38.0331 
6779 1 14.413 1.59727 38.0204 
6780 1 16.1903 1.60746 36.2137 
6825 1 10.8858 3.3502 36.1779 
7449 1 10.8527 -0.162806 39.8186 
7501 1 10.8956 3.35014 39.8026 
6775 1 10.8565 1.59276 37.9965 
6773 1 10.8336 -0.140301 36.1855 
6102 1 16.1988 -0.119441 34.3974 
6098 1 12.6109 -0.132099 34.387 
6103 1 14.4045 1.60987 34.3921 
6154 1 16.1722 3.35895 34.38 
6099 4 10.8373 1.62029 34.3683 
6150 1 12.6431 3.35588 34.366 
7450 1 12.6426 -0.157565 41.6446 
8182 1 16.1801 3.35306 45.2683 
7454 1 16.2065 -0.128461 41.6622 
7455 1 14.4113 1.60927 41.6406 
7502 1 12.6391 3.36655 41.6301 
7506 1 16.1778 3.36021 41.6448 
8126 1 12.6478 -0.149517 45.2572 
8128 1 12.6373 1.60251 43.4543 
8129 1 14.4235 -0.139511 43.459 
8130 1 16.204 -0.121442 45.2807 
8131 1 14.4073 1.61157 45.2762 
8132 1 16.1886 1.61392 43.4636 
8181 1 14.4006 3.36891 43.4559 
8178 1 12.6321 3.37357 45.2748 
8177 1 10.8894 3.36176 43.4407 
8127 1 10.8801 1.58799 45.2571 
7451 1 10.8743 1.57912 41.6278 
8125 1 10.8556 -0.167078 43.4502 
68 1 12.6541 5.15283 -0.35632 
71 1 14.4187 5.12655 1.47905 
72 2 16.1811 5.10746 -0.343283 
800 1 16.2221 8.64209 3.31761 
118 1 12.6623 6.88209 1.47487 
797 2 14.4385 6.87121 3.3031 
120 2 12.7009 8.64339 -0.343452 
121 1 14.4403 6.88508 -0.342798 
122 4 16.2033 6.88182 1.49041 
123 1 14.4741 8.63741 1.49856 
124 1 16.1968 8.64182 -0.338201 
744 1 12.6377 5.10206 3.29925 
748 1 16.2004 5.10538 3.29208 
796 4 12.7093 8.64887 3.31597 
174 4 16.2203 10.4125 1.49943 
173 2 14.4787 10.4327 -0.352354 
849 1 14.49 10.4094 3.33592 
170 2 12.7389 10.4283 1.51556 
169 2 10.9847 10.4619 -0.306044 
67 4 10.8777 5.14438 1.47734 
845 2 10.9395 10.4008 3.33441 
793 2 10.8958 6.89994 3.31793 
119 1 10.912 8.65183 1.49867 
117 1 10.891 6.90811 -0.341427 
747 2 14.4262 5.10062 5.1362 
794 2 12.6602 6.87904 5.15906 
1476 1 16.2158 8.62558 6.96591 
798 4 16.2143 6.87351 5.14021 
799 1 14.4751 8.64319 5.14948 
1420 1 12.6412 5.10749 6.98509 
1423 1 14.4259 5.10034 8.78319 
1424 1 16.1985 5.10451 6.96298 
1475 1 14.4741 8.61048 8.79644 
1470 1 12.6783 6.85584 8.79675 
1474 1 16.2078 6.84826 8.79022 
1472 1 12.7099 8.62047 6.98278 
1473 1 14.4553 6.86361 6.97846 
850 1 16.228 10.4037 5.14159 
1526 1 16.2173 10.3894 8.80618 
1469 1 10.883 6.88174 6.98934 
1419 1 10.8725 5.12641 8.80223 
743 1 10.8645 5.12506 5.15497 
1525 1 14.4706 10.3912 6.97733 
1471 1 10.9425 8.61662 8.80636 
795 1 10.915 8.65455 5.16815 
1521 1 10.9834 10.3591 6.97487 
1522 1 12.748 10.3685 8.81204 
846 1 12.7351 10.3878 5.1556 
2100 1 16.1937 5.08817 10.6115 
2096 1 12.6593 5.10058 10.6239 
2149 1 14.453 6.8352 10.6223 
2152 1 16.2129 8.6029 10.6247 
2145 1 10.9149 6.86178 10.6335 
2148 1 12.7297 8.59212 10.6303 
2201 1 14.4829 10.3821 10.6242 
2828 1 16.2102 8.60208 14.288 
2776 1 16.1944 5.07658 14.2865 
2099 1 14.4376 5.07892 12.4503 
2775 1 14.4397 5.0759 16.1328 
2827 1 14.4897 8.60646 16.14 
2146 1 12.6974 6.83851 12.4605 
2826 1 16.1998 6.83371 16.1236 
2822 1 12.7258 6.84542 16.1434 
2824 1 12.7492 8.57702 14.3026 
2150 1 16.2059 6.8303 12.4544 
2151 1 14.4804 8.5973 12.4581 
2772 1 12.6802 5.09349 14.2861 
2825 1 14.4637 6.82588 14.2965 
2874 1 12.7671 10.3548 16.1335 
2198 1 12.756 10.3421 12.4636 
2202 1 16.2227 10.3784 12.4527 
2821 1 10.9377 6.85536 14.2977 
2823 1 10.9892 8.57032 16.1527 
2878 1 16.2131 10.3956 16.1268 
2771 2 10.906 5.12273 16.1447 
2873 4 11.0233 10.3038 14.3147 
2877 1 14.4888 10.374 14.2956 
2095 1 10.8842 5.12829 12.4683 
2147 4 10.9639 8.58791 12.4714 
2197 1 10.9995 10.3186 10.6481 
3549 4 11.0265 10.3419 17.9618 
4180 1 16.1971 8.64687 21.6454 
3448 1 12.6911 5.09305 17.9841 
3451 1 14.4458 5.08707 19.8003 
3452 4 16.1841 5.07911 17.956 
3497 1 10.9546 6.85704 17.9917 
3498 4 12.7171 6.85413 19.8108 
3499 4 11.0044 8.62259 19.7884 
3500 4 12.7543 8.60348 17.9799 
3501 4 14.4636 6.84028 17.9753 
3502 4 16.1954 6.85541 19.7984 
3503 4 14.4796 8.62744 19.8134 
3504 4 16.2089 8.62477 17.966 
4124 4 12.6879 5.09893 21.635 
4128 4 16.1809 5.08954 21.629 
4177 4 14.4513 6.86101 21.6366 
4176 4 12.722 8.63098 21.6441 
4173 1 10.977 6.83845 21.6434 
4229 4 14.4769 10.4168 21.6478 
3447 4 10.9148 5.12169 19.8106 
3550 1 12.7633 10.3923 19.8135 
3553 1 14.4899 10.4046 17.9747 
4225 4 11.0318 10.428 21.652 
3554 1 16.2088 10.4224 19.8132 
4175 1 10.9869 8.64502 23.4932 
4856 1 16.191 8.64872 25.2977 
4127 1 14.4311 5.09849 23.4628 
4174 1 12.7013 6.86593 23.472 
4855 4 14.4575 8.64843 27.1051 
4178 1 16.1798 6.86558 23.4682 
4179 4 14.4585 8.63834 23.4708 
4906 4 16.2097 10.4311 27.1053 
4800 4 12.6647 5.11547 25.2934 
4803 4 14.4229 5.1036 27.1147 
4804 4 16.1808 5.10249 25.2955 
4854 4 16.1767 6.8716 27.1135 
4850 4 12.6905 6.87788 27.1044 
4853 4 14.4417 6.86579 25.2917 
4852 4 12.7268 8.64553 25.2932 
4905 4 14.4737 10.4289 25.2959 
4226 4 12.7496 10.4179 23.4726 
4902 4 12.7366 10.427 27.1034 
4901 4 11.0147 10.4299 25.2741 
4230 4 16.1996 10.4279 23.4773 
4849 4 10.9305 6.88993 25.2947 
4799 4 10.8779 5.14835 27.1052 
4851 4 10.9743 8.64541 27.107 
4123 4 10.9055 5.12853 23.4744 
6208 4 16.1983 8.65518 32.5378 
5476 4 12.6471 5.12142 28.9155 
5479 4 14.418 5.11187 30.7309 
5480 4 16.1734 5.10635 28.9268 
6205 4 14.4234 6.88169 32.5377 
5526 4 12.6874 6.88894 30.7123 
6204 4 12.7141 8.67913 32.5204 
5528 4 12.713 8.65663 28.9058 
5529 4 14.4292 6.87292 28.9148 
5530 4 16.1746 6.87546 30.7263 
5531 4 14.462 8.65847 30.7172 
5532 4 16.1949 8.65175 28.9161 
6152 4 12.6638 5.11003 32.5407 
6156 4 16.174 5.1111 32.549 
5578 4 12.7435 10.4467 30.7193 
5581 4 14.4712 10.4358 28.9111 
5582 3 16.2103 10.4359 30.7159 
6253 1 10.9922 10.5059 32.5121 
5527 1 10.9647 8.67826 30.7004 
6201 4 10.9538 6.87546 32.512 
5525 3 10.9113 6.90362 28.9162 
5475 1 10.8795 5.13631 30.7164 
5577 4 10.9893 10.4407 28.9298 
6257 1 14.4767 10.4467 32.5291 
6207 1 14.445 8.66228 34.355 
6254 1 12.7541 10.4831 34.3451 
6203 2 11.0071 8.70748 34.3439 
6258 1 16.2141 10.4323 34.3505 
6151 1 10.9199 5.11756 34.3548 
6202 3 12.7017 6.88067 34.3544 
7560 1 16.212 8.64982 39.8104 
6884 4 16.2036 8.65698 36.1724 
7508 4 16.181 5.11549 39.822 
6930 4 12.7438 10.4693 37.9846 
7504 1 12.6586 5.13333 39.8082 
7557 1 14.4327 6.88862 39.8102 
6828 4 12.6699 5.11555 36.1801 
6831 4 14.4179 5.12065 38.0033 
6832 1 16.1742 5.11104 36.1936 
6883 1 14.4652 8.67251 37.9971 
6878 4 12.6842 6.90802 37.9979 
7556 4 12.7193 8.68628 39.8016 
6880 4 12.7171 8.68941 36.1862 
6881 4 14.4261 6.89093 36.1849 
6882 4 16.183 6.8801 37.9997 
6934 4 16.2386 10.4382 37.9878 
6877 4 10.9703 6.8826 36.175 
6827 4 10.9293 5.11626 37.9891 
6879 4 10.9865 8.72574 37.9947 
6933 4 14.4831 10.4531 36.1681 
7609 4 14.4992 10.4341 39.8072 
6929 1 11.003 10.5319 36.1695 
7605 4 10.9721 10.466 39.7788 
7553 4 10.9482 6.93305 39.8045 
6155 1 14.4186 5.11236 34.3691 
6206 1 16.1637 6.87954 34.3632 
8236 1 16.2102 8.64789 43.4534 
7507 1 14.4135 5.12648 41.6316 
7554 4 12.6775 6.90817 41.6228 
8235 1 14.4585 8.64677 45.256 
7558 1 16.1929 6.8759 41.6377 
7559 1 14.4682 8.65574 41.6236 
8180 4 12.6379 5.13617 43.4443 
8183 4 14.4078 5.12288 45.2667 
8184 1 16.1791 5.11342 43.4593 
8234 4 16.1827 6.88327 45.2655 
8230 4 12.6745 6.88734 45.2574 
8233 1 14.4291 6.88284 43.4447 
8232 4 12.7176 8.66507 43.4358 
8286 1 16.2367 10.4152 45.2731 
7610 1 16.2404 10.421 41.6374 
8285 4 14.4873 10.4252 43.4516 
8282 4 12.7292 10.4465 45.2473 
8281 4 11.0141 10.4305 43.4193 
7606 4 12.7579 10.4367 41.6141 
8179 4 10.885 5.16265 45.2709 
7503 4 10.9011 5.14546 41.6027 
8231 4 10.9778 8.66766 45.2546 
7555 4 10.9693 8.71607 41.5943 
8229 4 10.9191 6.93913 43.4214 
904 4 16.2527 15.7022 3.3125 
848 4 12.7537 12.1864 3.34814 
901 4 14.4946 13.9596 3.33575 
227 4 14.5167 15.7027 1.51793 
228 4 16.3109 15.7202 -0.34404 
172 4 12.7648 12.2372 -0.338409 
900 4 12.749 15.7439 3.37693 
852 4 16.2413 12.1885 3.32529 
175 4 14.5118 12.2051 1.5119 
176 1 16.2544 12.197 -0.335104 
226 1 16.2648 13.9572 1.49146 
222 4 12.7556 13.9419 1.52618 
224 3 12.7631 15.6737 -0.32705 
225 4 14.5275 13.9668 -0.328902 
897 1 11.0006 13.9243 3.38116 
171 1 10.9867 12.1884 1.54585 
221 3 11.0046 13.9124 -0.310293 
223 5 10.9468 15.7748 1.53199 
1574 4 12.7648 13.9537 8.80521 
1578 4 16.2451 13.9576 8.81306 
847 4 10.9909 12.1354 5.1534 
1577 4 14.4775 13.9551 6.96259 
851 1 14.485 12.1777 5.14214 
898 4 12.7465 13.9507 5.14133 
1580 4 16.2484 15.7207 6.96296 
902 4 16.2391 13.9597 5.14021 
903 4 14.5037 15.7297 5.1473 
1579 2 14.5121 15.7479 8.79742 
1573 2 11.0046 13.9614 6.96088 
1523 2 11.0185 12.1279 8.8128 
1524 4 12.7534 12.1613 6.96689 
1528 2 16.2355 12.1827 6.97651 
1576 2 12.7185 15.7702 6.93927 
1527 4 14.4777 12.1827 8.81164 
1575 2 10.9351 15.7848 8.80154 
899 4 10.9623 15.7871 5.12347 
2204 4 16.2376 12.1747 10.6108 
2200 4 12.759 12.1615 10.6357 
2931 2 14.5115 15.7782 16.0644 
2876 4 12.7599 12.1561 14.2917 
2929 4 14.5181 13.9764 14.2659 
2199 2 11.0382 12.1297 12.4778 
2925 4 11.0342 14.0056 14.2916 
2932 4 16.2844 15.7417 14.2298 
2928 4 12.7611 15.8099 14.2468 
2251 2 10.9742 15.8398 12.5184 
2879 4 14.4851 12.1616 16.1075 
2875 3 11.0835 12.1201 16.1096 
2203 2 14.494 12.1768 12.4596 
2927 2 10.9987 15.8553 16.0674 
2926 2 12.7608 13.9695 16.0787 
2250 4 12.7674 13.9835 12.4917 
2930 4 16.2508 13.9456 16.0841 
2880 4 16.2357 12.1722 14.2877 
2254 4 16.2581 13.9682 12.4394 
2255 4 14.5247 15.7566 12.4726 
2252 2 12.7435 15.7696 10.6752 
2256 4 16.2587 15.7547 10.6393 
2253 4 14.498 13.9632 10.6409 
2249 2 11.0252 13.9922 10.6492 
4277 4 11.0201 13.9765 21.6995 
3603 2 11.0289 15.801 19.7569 
4280 4 12.7572 15.7524 21.7089 
4228 4 12.7663 12.1948 21.6645 
3551 4 11.0475 12.1414 19.8252 
3552 4 12.7419 12.1471 17.9687 
4281 4 14.5024 13.9848 21.6904 
4232 4 16.2178 12.2017 21.6687 
3555 4 14.4858 12.173 19.8235 
3556 4 16.227 12.1807 17.9553 
3601 4 11.0788 13.9943 17.9148 
3602 2 12.7495 13.9588 19.8299 
4284 4 16.2597 15.7633 21.7115 
3604 2 12.7691 15.8509 17.9074 
3605 2 14.4879 13.9537 17.9488 
3606 2 16.2364 13.971 19.8387 
3607 2 14.4722 15.7756 19.829 
3608 2 16.2667 15.7458 17.9412 
4908 4 16.2183 12.2101 25.3009 
4907 4 14.4823 12.2138 27.109 
4227 4 11.0255 12.1968 23.4795 
4904 4 12.7615 12.2073 25.2957 
4956 4 12.7566 15.7669 25.3134 
4960 4 16.2373 15.7802 25.3175 
4231 4 14.4843 12.207 23.4855 
4278 4 12.7663 13.989 23.4932 
4959 4 14.4902 15.7804 27.1224 
4282 4 16.2328 13.9875 23.4965 
4283 4 14.5059 15.776 23.5138 
4958 4 16.2277 13.9978 27.1149 
4954 4 12.7598 13.9916 27.1153 
4957 4 14.4992 13.9922 25.3068 
4953 4 11.0256 13.9756 25.2775 
4903 4 11.04 12.2112 27.107 
4279 3 10.9831 15.7516 23.5125 
4955 4 11.0308 15.7482 27.122 
6312 4 16.2672 15.7636 32.5221 
6256 4 12.7498 12.2335 32.5208 
6309 4 14.5006 13.9964 32.521 
5580 4 12.7455 12.2164 28.9166 
5635 4 14.4976 15.7747 30.724 
5636 4 16.239 15.7771 28.922 
5583 4 14.4909 12.2183 30.7165 
5584 4 16.223 12.2167 28.9124 
6308 4 12.7351 15.7489 32.5184 
5630 4 12.7499 13.993 30.7241 
6260 4 16.2343 12.2169 32.5208 
5632 4 12.7465 15.7713 28.9309 
5633 4 14.4891 13.9996 28.9194 
5634 4 16.2392 13.9961 30.7193 
5629 4 11.005 13.9797 28.9395 
5579 4 10.9734 12.2176 30.7105 
5631 4 10.9733 15.7449 30.7261 
6305 4 10.9692 13.9611 32.5157 
6310 4 16.2616 13.9852 34.3257 
6259 4 14.5063 12.2261 34.3394 
6306 4 12.7521 13.9745 34.3243 
6311 4 14.5068 15.7579 34.3001 
6255 4 10.9723 12.2291 34.3286 
6307 4 10.9727 15.6945 34.3119 
6982 1 12.7787 13.9658 37.9919 
7664 4 16.3025 15.7526 39.8748 
6985 4 14.5237 13.9688 36.1521 
6931 1 10.9829 12.2293 37.9873 
7608 1 12.7814 12.2084 39.7942 
6988 2 16.2831 15.754 36.1415 
7661 4 14.5399 13.9669 39.8295 
6984 2 12.7473 15.7209 36.1446 
7660 1 12.8041 15.7351 39.8627 
6932 4 12.7594 12.2438 36.1657 
6986 1 16.2742 13.9349 38.0032 
6987 2 14.557 15.7474 38.0307 
6935 1 14.5147 12.2085 37.9881 
6936 1 16.2592 12.2166 36.1609 
7612 4 16.2629 12.1972 39.824 
7657 2 10.9915 13.9796 39.7982 
6981 1 10.9659 13.936 36.1456 
6983 2 10.9676 15.7012 37.9817 
8287 4 14.5132 12.2005 45.2664 
8336 1 12.7959 15.726 43.3973 
8339 4 14.5728 15.7094 45.2429 
7611 1 14.5172 12.1921 41.6321 
7658 4 12.8022 13.9699 41.623 
8340 4 16.312 15.7356 43.453 
7662 4 16.2884 13.9651 41.6453 
7663 4 14.5621 15.7555 41.6444 
8288 4 16.2587 12.1905 43.4597 
8334 4 12.8067 13.9665 45.2616 
8283 4 11.0485 12.2447 45.2604 
8284 4 12.7738 12.2078 43.4377 
8337 4 14.5411 13.963 43.4382 
8338 4 16.2825 13.9526 45.2822 
7607 2 11.0084 12.1994 41.5858 
8333 4 11.0358 13.9653 43.4018 
7659 4 11.002 15.7107 41.6435 
8335 5 10.9228 15.6937 45.2657 
1005 5 14.5626 21.3617 3.32621 
274 2 12.7449 17.5555 1.52389 
956 4 16.3271 19.416 3.27599 
276 3 12.7033 19.4542 -0.387867 
277 5 14.5492 17.5376 -0.347267 
278 4 16.3141 17.5352 1.46888 
279 5 14.5243 19.4339 1.48575 
280 4 16.3867 19.4314 -0.372629 
953 2 14.5366 17.5274 3.32846 
326 5 12.6989 21.3627 1.45376 
329 2 14.5496 21.3317 -0.407231 
330 2 16.348 21.3048 1.40649 
952 3 12.6668 19.3825 3.35964 
949 4 10.8932 17.5883 3.4037 
273 4 10.8981 17.5659 -0.323872 
275 5 10.8706 19.3594 1.494 
325 5 10.8137 21.3052 -0.399017 
1001 5 10.7796 21.2792 3.3173 
950 4 12.7041 17.5684 5.1374 
1682 3 16.2465 21.3614 8.73308 
954 4 16.2813 17.4755 5.15739 
955 5 14.5292 19.4222 5.12587 
1002 5 12.6206 21.3234 5.17315 
1006 3 16.4255 21.362 5.15997 
1681 3 14.5022 21.3638 6.93616 
1626 5 12.6578 17.6109 8.80125 
1678 5 12.6134 21.2928 8.72866 
1628 3 12.6382 19.3876 6.89483 
1629 4 14.5147 17.5255 6.93902 
1630 3 16.2994 17.5141 8.79581 
1631 5 14.4868 19.4277 8.77893 
1632 5 16.3549 19.4359 6.96516 
1677 2 10.7188 21.229 6.91779 
1625 3 10.8846 17.6059 6.88409 
1627 2 10.8348 19.4369 8.78574 
951 4 10.8344 19.3592 5.1336 
2982 5 16.3362 17.6149 16.0663 
2981 2 14.5258 17.6519 14.2299 
3030 4 12.683 21.2864 16.0605 
2302 2 12.7165 17.6633 12.4886 
2983 1 14.5636 19.5035 16.0671 
3029 4 10.8466 21.26 14.2993 
2977 1 10.9194 17.6864 14.2839 
2306 1 16.3033 17.572 12.4536 
2307 4 14.5108 19.4457 12.468 
2984 3 16.3675 19.4593 14.1999 
2354 4 12.6087 21.2644 12.4877 
2303 4 10.8628 19.4815 12.5278 
2358 3 16.4059 21.3016 12.4259 
3034 1 16.3998 21.2759 16.0669 
2978 2 12.7524 17.6693 16.0401 
3033 5 14.5323 21.3119 14.2331 
2980 1 12.6684 19.4889 14.2839 
2979 4 10.877 19.4882 16.0598 
2305 2 14.5041 17.5863 10.6776 
2304 3 12.6231 19.4889 10.719 
2301 2 10.8952 17.6565 10.7157 
2353 3 10.8033 21.2308 10.7058 
2357 5 14.4971 21.315 10.6792 
2308 2 16.2923 19.3892 10.6391 
4385 5 14.5682 21.284 21.5971 
3654 2 12.7783 17.639 19.7461 
3656 5 12.7103 19.4966 17.8839 
3657 3 14.5321 17.6439 17.8856 
3658 5 16.2855 17.5925 19.7933 
3659 2 14.5508 19.4805 19.713 
3660 4 16.3613 19.4638 17.8886 
