LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
1461 1 3.36144 6.97806 6.96265 
1463 4 3.37699 8.79913 8.76813 
1509 4 -0.2688 10.6049 6.95637 
2136 5 1.49077 8.77913 10.5679 
2137 2 3.32082 6.94264 10.624 
2185 3 -0.310558 10.5453 10.5786 
2083 2 -0.273972 5.14595 12.4926 
2084 3 1.57176 5.12126 10.6621 
2087 3 3.28626 5.10445 12.4471 
2133 2 -0.289862 6.99058 10.6095 
2134 2 1.47338 6.93705 12.5106 
2135 3 -0.304324 8.76465 12.5111 
2861 5 -0.315528 10.5918 14.3666 
2815 1 3.35813 8.79256 16.1842 
2139 5 3.36466 8.76348 12.4702 
2759 1 -0.359502 5.06076 16.1097 
2760 4 1.45294 5.08215 14.2992 
2763 2 3.37037 5.05546 16.1905 
2809 1 -0.33756 6.96713 14.3192 
2810 5 1.45773 6.9044 16.1425 
2811 4 -0.381282 8.78541 16.1442 
2812 1 1.46676 8.75273 14.351 
2813 5 3.35457 6.89902 14.3332 
3435 1 -0.407119 5.05664 19.8209 
3436 4 1.44959 5.03244 17.9722 
3439 1 3.3996 5.06037 19.7804 
3485 5 -0.416505 6.9082 17.9998 
3486 5 1.50056 6.87027 19.8357 
3487 2 -0.397323 8.80458 19.8642 
3488 5 1.4904 8.83431 18.0135 
3489 5 3.40472 6.88726 17.9764 
3491 2 3.425 8.83254 19.7658 
4112 2 1.50608 5.05902 21.6261 
4161 1 -0.409464 6.8643 21.5819 
4164 2 1.56638 8.843 21.4948 
4165 4 3.39963 6.95273 21.5379 
4111 3 -0.355401 5.03702 23.374 
4115 3 3.31228 5.1296 23.3704 
4162 5 1.54213 6.96968 23.3448 
4163 5 -0.365842 8.81261 23.3096 
4167 4 3.37023 8.81543 23.369 
4787 1 -0.351052 5.08968 27.0944 
4788 2 1.4922 5.10311 25.2268 
4791 3 3.3058 5.15287 27.0817 
4837 5 -0.386066 6.94595 25.2164 
4838 5 1.47543 7.00315 27.074 
4839 4 -0.392666 8.81674 27.0934 
4840 3 1.50914 8.80572 25.2383 
4841 1 3.31768 7.02448 25.2303 
4843 3 3.32798 8.79957 27.0298 
4889 2 -0.296914 10.6135 25.2274 
4890 3 1.46258 10.5462 27.0343 
4893 5 3.32484 10.6425 25.2393 
5463 2 -0.371037 5.03273 30.7586 
5464 5 1.4617 5.06287 28.905 
5467 2 3.34538 5.07947 30.8173 
5513 1 -0.403058 6.96515 28.895 
5514 5 1.44349 6.94227 30.7455 
5515 4 -0.393964 8.82688 30.7293 
5516 2 1.4285 8.85342 28.9369 
5517 5 3.37866 7.02132 28.9422 
5519 3 3.41152 8.80743 30.7722 
6140 1 1.44771 5.09239 32.5899 
